year,country,title,character,sex,pre_freq_per_100k,post_freq_per_100k,jump_ratio,delta_pct,control_delta_pct,did_net_effect_pct,notes
2001,IT,Luce (Tramonti a nord est),Elisa,F,1339.25,1409.36,1.05,5.24,-2.53,7.76,Sanremo #1 Vincitrice / FIMI #1 Single
2003,IT,Gocce di memoria,Giorgia,F,1834.39,1974.64,1.08,7.65,15.34,-7.69,FIMI #1 Single Italia 2003
2006,IT,Sei nell'anima,Gianna,F,8.62,8.41,0.98,-2.46,-4.29,1.83,FIMI #1 Single Italia (Gianna Nannini)
2008,IT,Non ti scordar mai di me,Giusy,F,111.94,95.05,0.85,-15.09,4.55,-19.64,FIMI #1 Single per 12 settimane (Giusy Ferreri)
2009,IT,Stupida,Alessandra,F,747.4,589.8,0.79,-21.09,-2.01,-19.07,FIMI #1 Album Debut (Alessandra Amoroso)
2010,IT,Oltre,Emma,F,1177.69,1903.5,1.62,61.63,-6.35,67.98,FIMI #1 Album Debut (Emma Marrone)
2011,IT,Rolling in the Deep,Adele,F,150.31,459.07,3.05,205.41,-0.82,206.23,FIMI #1 Single Italia 2011
2012,IT,La notte,Arisa,F,2.13,3.94,1.85,85.12,44.74,40.38,Sanremo / FIMI #1 Single Italia 2012
2013,IT,L'essenziale,Marco,M,1426.84,1209.38,0.85,-15.24,-3.71,-11.53,Sanremo #1 Vincitore / FIMI Multi-Platino (Marco Mengoni)
2017,IT,Tutta colpa mia,Elodie,F,19.94,60.04,3.01,201.05,12.6,188.45,FIMI Certificato Platino / Sanremo 2017
2018,IT,Il mondo prima di te,Annalisa,F,81.51,69.84,0.86,-14.32,-7.5,-6.82,FIMI Multi-Platino Sanremo 2018
2020,IT,Musica e il resto scomparirà,Elettra,F,86.05,99.65,1.16,15.8,-10.17,25.97,FIMI Certificato Platino (Elettra Lamborghini)
2021,IT,Zitti e buoni,Damiano,M,266.71,455.31,1.71,70.71,-8.66,79.38,Sanremo & Eurovision #1 Vincitore (Måneskin)
2021,IT,Grande Fratello VIP 6,Soleil,F,50.61,253.05,5.0,400.05,-8.38,408.43,Mediaset Auditel Protagonista Pop Culture
2023,IT,Sanremo 2023 Performance,Celine,F,43.75,0.56,0.01,-98.72,-8.68,-90.04,FIMI / RAI Esibizione Sanremo 2023
2024,IT,La noia,Angelina,F,14.48,24.0,1.66,65.74,-2.45,68.19,Sanremo #1 Vincitrice / FIMI Multi-Platino (Angelina Mango)
