year,country,rank,title,character,sex,notes
2010,IT,1,Benvenuti al Sud,Mattia,M,Cinetel #1 Incasso Italiano 2010 (€29.8M)
2010,IT,2,Alice in Wonderland,Alice,F,Cinetel #2 Incasso Italia 2010 (€30.4M)
2011,IT,1,Che bella giornata,Checco,M,Cinetel #1 Incasso Italia 2011 (€43.4M)
2011,IT,2,Il Trono di Spade (Serie TV),Khaleesi,F,Sky Italia #1 Serie TV Fantasy 2011
2011,IT,3,Il Trono di Spade (Serie TV),Arya,F,Sky Italia #1 Serie TV Fantasy 2011
2012,IT,1,Benvenuti al Nord,Alberto,M,Cinetel #1 Incasso Italia 2012 (€27.1M)
2013,IT,1,Sole a catinelle,Sole,F,Cinetel #1 Incasso Italia 2013 (€51.9M)
2013,IT,2,Frozen - Il regno di ghiaccio,Elsa,F,Cinetel #1 Animazione Natalizia 2013
2013,IT,3,Frozen - Il regno di ghiaccio,Anna,F,Cinetel #1 Animazione Natalizia 2013
2015,IT,1,Star Wars - Il risveglio della Forza,Rey,F,Cinetel Top Box Office Italia 2015 (€25.5M)
2016,IT,1,Quo vado?,Checco,M,Cinetel #1 Incasso Storico 2016 (€65.3M)
2018,IT,1,Bohemian Rhapsody,Freddie,M,Cinetel #1 Incasso Italia 2018 (€29.0M)
2019,IT,1,Il re leone,Simba,M,Cinetel #1 Incasso Italia 2019 (€37.5M)
2020,IT,1,Tolo Tolo,Checco,M,Cinetel #1 Incasso Italia 2020 (€46.2M)
2021,IT,1,Spider-Man: No Way Home,Peter,M,Cinetel #1 Incasso Italia 2021 (€25.0M)
2022,IT,1,Avatar - La via dell'acqua,Neytiri,F,Cinetel #1 Incasso Italia 2022 (€45.0M)
2023,IT,1,C'è ancora domani,Delia,F,Cinetel #1 Film per Presenze 2023 (€36.9M)
2023,IT,2,Barbie,Barbie,F,Cinetel #1 Incasso Estivo 2023 (€32.1M)
2023,IT,3,Oppenheimer,Robert,M,Cinetel #3 Incasso Italia 2023 (€28.5M)
