year,total_births,top30_male_share,top30_female_share,top5_male_names,top5_male_counts,top5_female_names,top5_female_counts,source_url,notes
2014,502596,47,39.84,Francesco;Alessandro;Lorenzo;Andrea;Leonardo,10316;6940;6665;6270;6079,Sofia;Giulia;Aurora;Giorgia;Martina,7353;6729;5709;4502;4268,https://www.istat.it/it/files/2015/11/Natalit%C3%A0_fecondita_2014.pdf,"Primary ISTAT PDF downloaded; total_births confirmed exact (502.596, matches multiple independent sources). top30% and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2015'); not individually re-verified against raw PDF text by full manual read."
2013,514308,47.52,40.16,Francesco;Alessandro;Andrea;Lorenzo;Mattia,10553;7235;6777;6747;6289,Sofia;Giulia;Aurora;Emma;Giorgia,7987;7313;4772;4538;4536,https://www.istat.it/wp-content/uploads/2014/11/natalit%C3%A02013.pdf,"Primary ISTAT PDF downloaded (anno 2013 report, published 27 Nov 2014). total_births confirmed exact (514.308, also appears in 2024 report's related discussion). top30% figures: nomix page states 'I primi 30 nomi corrispondono al 47,52% del totale dei nomi scelti per tutti i bimbi italiani' (word 'maschi' likely omitted by typo on source page) 'e al 40,16% per le bimbe'. Exact top5 counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2014'); not individually re-verified against raw PDF text by full manual read."
2012,534186,47,40,Francesco;Alessandro;Andrea;Lorenzo;Matteo,7978;7925;7674;7281;6750,Sofia;Giulia;Giorgia;Martina;Emma,8266;8194;5326;5157;4971,https://www.istat.it/it/files/2013/11/statisticareportnati2012.pdf,"Primary ISTAT PDF downloaded; total_births confirmed exact (534.186). top30% (rounded to whole percent on secondary page) and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Novembre 2013'); not individually re-verified against raw PDF text by full manual read."
2011,546607,48,41,Francesco;Alessandro;Andrea;Lorenzo;Matteo,8505;8084;8058;7752;7290,Sofia;Giulia;Martina;Giorgia;Sara,8531;8327;5692;5230;4964,https://www.comune.bologna.it/iperbole/piancont/archivionov/tabelle_grafici/istat_natalita/Natalitaefeconditadella%20popolazione%20-%2014_nov_2012%20-%20Testo%20integrale.pdf,"Primary ISTAT PDF text obtained via a Comune di Bologna mirror (original istat.it URL for this specific year could not be located directly; content is the official ISTAT 'Testo integrale' dated 14 Nov 2012, i.e. genuine primary-source text, just not fetched from istat.it itself). total_births confirmed exact (546.607) via web search corroboration. top30% (rounded) and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, Dicembre 2012'); not individually re-verified against raw PDF text by full manual read."
2010,561944,48,41,Francesco;Alessandro;Andrea;Lorenzo;Matteo,8949;8462;8023;7746;7269,Sofia;Giulia;Sara;Martina;Giorgia,8922;8550;6102;5965;5728,https://www.nomix.it/top-30-nomi-per-bambini-italia-2010.php,"No ISTAT PDF for this specific year located/downloaded. total_births (561.944) from ISTAT 'Bilancio Demografico Nazionale 2010' (official document, found via web search, not downloaded to raw/). top30% (rounded to whole percent; nomix page notes the share 'continua a diminuire negli ultimi anni' vs 2009) and top5 exact counts from nomix.it (cites 'Fonte: ISTAT, 2011')."
2009,568857,49,41.9,Francesco;Alessandro;Matteo;Andrea;Lorenzo,9259;9141;8111;7947;7711,Giulia;Sofia;Martina;Sara;Giorgia,8998;8854;6981;6445;5727,https://www.nomix.it/top-30-nomi-per-bambini-italia-2009.php,"No ISTAT PDF for this specific year located/downloaded. total_births (568.857) from a web-search-derived synthesis of ISTAT figures (not independently cross-checked against a downloaded ISTAT PDF) - treat as approx. top30 male share stated explicitly by nomix.it prose ('il 49% del totale'); female share given only as 'quasi il 42%' (i.e. just under 42%) - recorded here as 41.9 approx. Top5 exact counts from nomix.it (cites 'Fonte: ISTAT, 2011')."
2008,576659,50.03,41.98,Francesco;Alessandro;Andrea;Matteo;Lorenzo,10156;9247;8596;8460;7703,Giulia;Sofia;Martina;Sara;Chiara,9624;8972;7327;7119;6457,https://www.nomix.it/top-30-nomi-per-bambini-italia-2008.php,"No ISTAT PDF for this specific year located/downloaded, but total_births (576.659) is cross-confirmed exact via the official historical indicator table inside the downloaded 2024 and 2020 ISTAT PDFs (both list 2008 = 576.659). top30% and top5 exact counts (incl. full cumulative % column) from nomix.it (cites 'Fonte: ISTAT, 2010'); nomix page prose independently states 'i primi 30 nomi coprono il 50% ... e il 42% per le bambine' matching its own table's cumulative total (50.03/41.98)."
2007,563933,50.7,43.1,Francesco;Alessandro;Andrea;Matteo;Lorenzo,10047;9318;8352;8162;7891,Giulia;Sofia;Martina;Sara;Chiara,9670;8422;7731;7264;6243,https://www.nomix.it/nomi-piu-frequenti-nati-in-italia-2007.php,"No ISTAT PDF for this specific year located/downloaded. total_births (563.933) from web-search synthesis referencing ISTAT figures for 2007 (cited as 'the previous year' in the 2008 report press coverage) - not independently verified against a downloaded ISTAT PDF. top30% and top5 exact counts (incl. full cumulative % column, i.e. rank 30 cumulative = 50.7%/43.1%) from nomix.it (cites 'Fonte: ISTAT, 2009')."
2006,557000,51.1,43.5,Francesco;Alessandro;Andrea;Matteo;Lorenzo,10003;9396;8805;8355;7824,Giulia;Sara;Sofia;Martina;Chiara,10233;7313;7263;7160;6670,https://www.nomix.it/nomi-piu-utilizzati-per-i-bambini-italiani.php,"No ISTAT PDF for this specific year located/downloaded. total_births (~557.000) is a PROVISIONAL ISTAT estimate found via web search ('circa 557.000 unità, circa 3.000 in più del 2005') - approx, not an exact/final figure. top30% and top5 exact counts (incl. cumulative % column) from nomix.it (cites 'Fonte: ISTAT, 2008')."
2005,,,,,,,,,"No ISTAT report/press-release and no nomix.it page located for data-year 2005 despite searching - this appears to be a genuine gap in what's publicly archived/re-published. Row included only to flag the gap explicitly; not populated."
2004,,,,Francesco;Alessandro;Andrea;Matteo;Lorenzo,,Giulia;Martina;Chiara;Sara;Alessia,,https://www.nomix.it/top10italia2004.php,"No ISTAT PDF located; nomix.it's 2004 page (an early/thin page format) gives only a ranked name list with NO counts (V.A.), NO top30 concentration %, and NO total_births figure - so those fields are left blank here. Names only, exact rank order preserved. This is the earliest year for which any name-ranking data (of any kind) could be found; included as a bonus beyond the 'back to ~2005-2008' target since it happened to be available."
